year,auction_name
2024,Robin Minz
2024,Sushant Mishra
2024,Adil Rashid
2024,Ben Duckett
2024,David Willey
2024,James Vince
2024,Jamie Overton
2024,Josh Hazlewood
2024,Josh Inglis
2024,Mujeeb Rahman
2024,Rassie Van Der Dussen
2024,Sean Abbott
2024,Steve Smith
2024,Chris Jordan
2024,Colin Munro
2024,Daniel Sams
2024,James Neesham
2024,Jason Holder
2024,Sherfane Rutherford
2024,Tim Southee
2024,Tymal Mills
2024,Wanindu Hasaranga
2024,Adam Milne
2024,Ashton Agar
2024,David Wiese
2024,Dwaine Pretorius
2024,Gus Atkinson
2024,Kyle Jamieson
2024,Michael Bracewell
2024,Riley Meredith
2024,Sam Billings
2024,Wayne Parnell
2024,Billy Stanlake
2024,Fabian Allen
2024,Finn Allen
2024,Ish Sodhi
2024,Keemo Paul
2024,Lance Morris
2024,Ollie Robinson
2024,Olly Stone
2024,Akeal Hosein
2024,Alick Athanaze
2024,Barinder Sran
2024,Ben Cutting
2024,Ben Dwarshuis
2024,Blessing Muzarabani
2024,Brandon King
2024,Brydon Carse
2024,Charith Asalanka
2024,Chetan Sakariya
2024,Dasun Shanaka
2024,Fareed Ahmad
2024,George Garton
2024,George Linde
2024,George Scrimshaw
2024,Hanuma Vihari
2024,Ibrahim Zadran
2024,Johnson Charles
2024,K S Bharat
2024,Karun Nair
2024,Kusal Mendis
2024,Lahiru Kumara
2024,Mark Chapman
2024,Matthew Forde
2024,Matthew Short
2024,Mohammed Waqar Salamkheil
2024,Najibullah Zadran
2024,Obed Mccoy
2024,Odean Smith
2024,Oshane Thomas
2024,Qais Ahamad
2024,Reeza Hendricks
2024,Richard Ngarava
2024,Samuel Hain
2024,Siddharth Kaul
2024,Tabraiz Shamsi
2024,Varun Aaron
2024,Wesley Agar
2024,Wiaan Mulder
2024,Benny Howell
2024,Jalaj Saxena
2024,Basil Thampi
2024,Corbin Bosch
2024,Izharulhuq Naveed
2024,Kamlesh Nagarkoti
2024,S Midhun
2024,Aarya Desai
2024,Abhilash Shetty
2024,Abhimanyu Easwaran
2024,Abhimanyusingh Rajput
2024,Abid Mushtaq
2024,Aditya Tare
2024,Akash Sengupta
2024,Akash Singh
2024,Akash Vashisht
2024,Akhin Sathar
2024,Akshat Raghuwanshi
2024,Allah Ghazanfar
2024,Aman Khan
2024,Amandeep Khare
2024,Aniketh Reddy
2024,Ankit Kumar
2024,Anmol Malhotra
2024,Ansh Gosai
2024,Aradhya Shukla
2024,Arpit Guleria
2024,Ashwani Kumar
2024,Ashwin Das
2024,Atal Rai
2024,Atharva Ankolekar
2024,Atit Sheth
2024,Avanish Rao Aravelly
2024,Avneesh Sudha
2024,Azim Kazi
2024,B Surya
2024,Baba Aparajith
2024,Baba Indrajith
2024,Basit Bashir
2024,Bhagmender Lather
2024,Bhupen Lalwani
2024,Bhuwan Rohilla
2024,Bipin Saurabh
2024,Chintal Gandhi
2024,Chirag Gandhi
2024,Chris Wood
2024,Darshan Misal
2024,Dev Lakra
2024,Devang Karamta
2024,Devendra Singh Bora
2024,Dhruv Shorey
2024,Digvesh Singh
2024,Dinesh Bana
2024,Divesh Sharma
2024,Divij Mehra
2024,Duan Jansen
2024,Ekant Sen
2024,G Ajitesh
2024,Ganesh Chaudhary
2024,Gourav Choudhary
2024,Gourav Yadav
2024,Gurjapneet Singh
2024,Gurnoor Singh Brar
2024,Harsh Dubey
2024,Harvik Desai
2024,Hrithik Shokeen
2024,Ishan Porel
2024,Jagadeesha Suchith
2024,Jasmer Dhankhar
2024,Jass Inder Baidwan
2024,Jhathavedh Subramanyan
2024,Jitender Pal
2024,K C Cariappa
2024,K L Shrijith
2024,K M Asif
2024,Kaushal Tambe
2024,Kaushik Maity
2024,Kulwant Khejroliya
2024,L R Chethan
2024,Lukman Hussain Meriwala
2024,Mahesh Pithiya
2024,Manan Vohra
2024,Mani Sankar Mura Singh
2024,Manish Reddy
2024,Manvanth Kumar
2024,Mohammed Arshad Khan
2024,Mohammed Kaif
2024,Mohit Ahlawat
2024,Mohit Avasthi
2024,Mohit Rathee
2024,Mohit Redkar
2024,Money Grewal
2024,Mrinmoy Dutta
2024,Mujtaba Yousuf
2024,Mukhtar Hussain
2024,Murgan Ashwin
2024,Murugan Abhishek
2024,Musheer Khan
2024,Mustaq Beg
2024,Nasir Lone
2024,Naushad Shaikh
2024,Nihal Ullal
2024,Nikhil Gangta
2024,Nikhil Naik
2024,Ninad Rathva
2024,Nitin Verma
2024,Ottneil Baartman
2024,P A Abdul
2024,Pankaj Yadav
2024,Paul Van Meekeren
2024,Pradosh Paul
2024,Prasad Pawar
2024,Prenelan Subrayen
2024,Prerit Dutta
2024,Prince Choudhary
2024,Prithvi Raj Yarra
2024,Priyank Panchal
2024,Priyansh Arya
2024,Pukhraj Mann
2024,Pulkit Narang
2024,Raghav Goyal
2024,Rahul Buddhi
2024,Rahul Shukla
2024,Raj Angad Bawa
2024,Raj Chaudhary
2024,Raj Limbani
2024,Rajat Dey
2024,Rakshan Readdi
2024,Ravi Chauhan
2024,Ravi Kumar
2024,Ravi Teja
2024,Rithik Easwaran
2024,Rohan Kunnummal
2024,Rohit Rayudu
2024,Sachin Bhosale
2024,Sahil Dhiwan
2024,Sairaj Patil
2024,Sakib Hussain
2024,Salman Nizar
2024,Sanjay Pahal
2024,Saransh Jain
2024,Sarfaraz Khan
2024,Saumy Pandey
2024,Saurabh Kumar
2024,Shakir Gandhi
2024,Shivalik Sharma
2024,Shreyas Gurav
2024,Shubham Agrawal
2024,Shubham Kapse
2024,Shubham Singh Pundir
2024,Shubhang Hegde
2024,Subhranshu Senapati
2024,Sudip Gharami
2024,Sumeet Verma
2024,Sumit Ghadigaonkar
2024,Suryansh Shedge
2024,Swastik Chhikara
2024,Tanmay Mishra
2024,Urvil Patel
2024,Utkarsh Singh
2024,Vaisakh Chandran
2024,Venkatesh Muralidhara
2024,Vineet Dhankhar
2024,Virat Singh
2024,Vishal Godara
2024,Vishnu Solanki
2024,Vishu Kashyap
2024,Vishwanath Pratap Singh
2024,Vivrant Sharma
2024,Waseem Bashir
2024,William O'Rourke
2024,William Salzmann
2024,Writtick Chatterjee
2024,Yuvraj Chudasama
2025,Harry Brook
2025,Wanindu Hasaranga
2025,AM Ghazanfar
2025,Mohsin Khan
2025,Gurjapneet Singh
2025,Glenn Phillips
2025,Gurnoor Brar
2025,Aaron Hardie
2025,Brydon Carse
2025,Vishnu Vinod
2025,Kuldeep Sen
2025,Jayant Yadav
2025,Kamindu Mendis
2025,Lizaad Williams
2025,Shamar Joseph
2025,Umran Malik
2025,Kumar Kushagra
2025,Vansh Bedi
2025,Swapnil Singh
2025,Abhinandan Singh
2025,Ajay Mandal
2025,Anuj Rawat
2025,Arjun Tendulkar
2025,Arshin Kulkarni
2025,Aryan Juyal
2025,Bevon Jacobs
2025,C Andre Siddarth
2025,Darshan Nalkande
2025,Digvesh Singh
2025,Harnoor Singh
2025,Kamlesh Nagarkoti
2025,Krishnan Shrijith
2025,Luvnith Sisodia
2025,Manav Suthar
2025,Manvanth Kumar
2025,Mayank Markande
2025,Mohit Rathee
2025,Nishant Sindhu
2025,Pyla Avinash
2025,Rajvardhan Hangargekar
2025,Ramakrishna Ghosh
2025,Sachin Baby
2025,Satyanarayana Raju
2025,Shreyas Gopal
2025,Swastik Chikara
2026,Cameron Green
2026,Matheesha Pathirana
2026,Kartik Sharma
2026,Prashant Veer
2026,Liam Livingstone
2026,Mustafizur Rahman
2026,Josh Inglis
2026,Auqib Nabi
2026,Ravi Bishnoi
2026,Jason Holder
2026,Venkatesh Iyer
2026,Mangesh Yadav
2026,Rahul Chahar
2026,Ben Dwarshuis
2026,Pathum Nissanka
2026,Cooper Connolly
2026,Jack Edwards
2026,Tejasvi Singh
2026,Mukul Choudhary
2026,Adam Milne
2026,Akshat Raghuwanshi
2026,Akeal Hosein
2026,Anrich Nortje
2026,Ben Duckett
2026,David Miller
2026,Finn Allen
2026,Jacob Duffy
2026,Kyle Jamieson
2026,Lungi Ngidi
2026,Matt Henry
2026,Rachin Ravindra
2026,Tom Banton
2026,Wanindu Hasaranga
2026,Matthew Short
2026,Salil Arora
2026,Tim Seifert
2026,Akash Deep
2026,Naman Tiwari
2026,Quinton de Kock
2026,Ravi Singh
2026,Ashok Sharma
2026,Sushant Mishra
2026,Jordan Cox
2026,Kuldeep Sen
2026,Luke Wood
2026,Prithvi Shaw
2026,Rahul Tripathi
2026,Sarfaraz Khan
2026,Shivam Mavi
2026,Zak Foulkes
2026,Aman Khan
2026,Aman Rao
2026,Amit Kumar
2026,Atharva Ankolekar
2026,Brijesh Sharma
2026,Daksh Kamra
2026,Danish Malewar
2026,Kanishk Chouhan
2026,Kartik Tyagi
2026,Krains Fuletra
2026,Mayank Rawat
2026,Mohammed Izhar
2026,Onkar Tarmale
2026,Praful Hinge
2026,Prashant Solanki
2026,Praveen Dubey
2026,Prithvi Raj
2026,Sahil Parekh
2026,Sakib Hussain
2026,Sarthak Ranjan
2026,Satvik Deswal
2026,Shivang Kumar
2026,Vicky Ostwal
2026,Vignesh Puthur
2026,Vihaan Malhotra
2026,Vishal Nishad
2026,Yash Raj Punja
