year,player
2012,P Parameswaran
2012,R Shukla
2012,RR Bhatkal
2012,Sunny Gupta
2012,T Mishra
2012,TP Sudhindra
2012,V Pratap Singh
2013,BJ Rohrer
2013,MC Juneja
2013,BB Samantray
2013,R Sathish
2013,LJ Wright
2013,PA Reddy
2013,CM Gautam
2013,KB Arun Karthik
2013,R Rampaul
2013,KW Richardson
2013,S Narwal
2013,A Mukund
2013,J Syed Mohammad
2013,X Thalaivan Sargunam
2013,UA Birla
2013,P Dogra
2013,Parvez Rasool
2013,RV Gomez
2013,R McLaren
2013,A Mithun
2013,R Shukla
2013,DP Nannes
2013,MG Neser
2013,S Badree
2013,S Ladda
2013,VS Malik
2014,CM Gautam
2014,S Rana
2014,BR Dunk
2014,VH Zol
2014,R Shukla
2014,R Rampaul
2014,KW Richardson
2014,M de Lange
2014,VS Malik
2014,AV Wankhade
2014,K Santokie
2014,Parvez Rasool
2014,S Badree
2014,SB Jakati
2015,CM Gautam
2015,Parvez Rasool
2015,RG More
2015,DJ Muthuswami
2015,J Theron
2015,B Aparajith
2015,GS Sandhu
2015,M de Lange
2016,UT Khawaja
2016,ER Dwivedi
2016,R Sathish
2016,P Sahu
2016,F Behardien
2016,KJ Abbott
2016,Parvez Rasool
2016,KW Richardson
2016,SB Jakati
2016,S Kaushik
2016,S Ladda
2016,SM Boland
2017,A Choudhary
2017,S Badree
2017,AR Bawne
2017,Ankit Soni
2017,DM Bravo
2017,Mohammad Nabi
2017,NB Singh
2017,S Kaushik
2017,SB Jakati
2017,SS Agarwal
2018,Mohammad Nabi
2018,JPR Scantlebury-Searles
2018,P Chopra
2018,LE Plunkett
2018,CJ Dala
2018,KM Asif
2018,S Lamichhane
2019,CA Ingram
2019,Mohammad Nabi
2019,P Ray Barman
2019,SD Lad
2019,GC Viljoen
2019,HF Gurney
2019,JL Denly
2019,O Thomas
2019,P Chopra
2019,S Lamichhane
2019,SC Kuggeleijn
2019,Y Prithvi Raj
2020,JR Philippe
2020,T Banton
2020,I Udana
2020,Mohammad Nabi
2020,P Dubey
2020,CJ Green
2020,Monu Kumar
2020,SS Cottrell
2021,KS Bharat
2021,RM Patidar
2021,Mohammad Nabi
2021,DJ Malan
2021,TL Seifert
2021,IC Porel
2021,K Yadav
2021,KM Asif
2021,KW Richardson
2021,LI Meriwala
2022,RM Patidar
2022,D Brevis
2022,R Shepherd
2022,TL Seifert
2022,HE van der Dussen
2022,B Indrajith
2022,RA Bawa
2022,KS Bharat
2022,Aman Hakim Khan
2022,A Tomar
2022,PN Mankad
2022,PH Solanki
2023,KR Mayers
2023,HC Brook
2023,MW Short
2023,Aman Hakim Khan
2023,PN Mankad
2023,P Dubey
2023,YV Dhull
2023,JE Root
2023,Liton Das
2023,Abdul Basith
2023,D Ferreira
2023,K Yadav
2023,KM Asif
2023,KS Bharat
2023,NA Saini
2023,Nithish Kumar Reddy
2023,R Goyal
2023,R Shepherd
2023,RS Hangargekar
2023,SK Rasheed
2023,SSB Magala
2023,Subhransu Senapati
2024,RM Patidar
2024,J Fraser-McGurk
2024,Nithish Kumar Reddy
2024,R Ravindra
2024,Ashutosh Sharma
2024,A Raghuvanshi
2024,D Brevis
2024,R Shepherd
2024,T Kohler-Cadmore
2024,Mohammad Nabi
2024,SB Dubey
2024,Gulbadin Naib
2024,Saurav Chauhan
2024,AA Kulkarni
2024,L Wood
2024,D Ferreira
2024,V Viyaskanth
2024,SH Johnson
2024,Arshad Khan (2)
2024,A Kamboj
2024,BR Sharath
2024,RJ Gleeson
2024,Shivam Singh
2024,KA Maharaj
2024,LB Williams
2024,MJ Suthar
2024,SZ Mulani
2024,KT Maphaka
2024,MP Yadav
2024,N Burger
2024,N Thushara
2024,S Joseph
2024,Tanay Thyagarajan
2024,V Kaverappa
2025,RD Rickelton
2025,RM Patidar
2025,A Raghuvanshi
2025,V Suryavanshi
2025,A Mhatre
2025,D Brevis
2025,Ashutosh Sharma
2025,R Ravindra
2025,Nithish Kumar Reddy
2025,V Nigam
2025,SB Dubey
2025,PHKD Mendis
2025,SK Rasheed
2025,R Shepherd
2025,JG Bethell
2025,J Fraser-McGurk
2025,C Bosch
2025,Sediqullah Atal
2025,BKG Mendis
2025,A Kamboj
2025,MP Breetzke
2025,XC Bartlett
2025,KT Maphaka
2025,RA Bawa
2025,R Minz
2025,M Tiwari
2025,SH Johnson
2025,D Ferreira
2025,DS Rathi
2025,MS Bhandage
2025,PVSN Raju
2025,E Malinga
2025,KS Rathore
2025,MJ Owen
2025,MP Yadav
2025,N Thushara
2025,P Dubey
2025,RJ Gleeson
2025,T Vijay
2025,V Puthur
2025,W O'Rourke
