year,player_id,player_name,team,base_price_lakh,final_price_lakh,role,nationality,status,acquisition_type,source
2008,P0032,Ajit Agarkar,KKR,,100.0,All-Rounder,Indian,SOLD,auction,manual_2008
2008,P0096,Ashish Nehra,MI,,100.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0223,Dinesh Karthik,DC,,100.0,Wicket-Keeper,Indian,SOLD,auction,manual_2008
2008,P0624,Ramesh Powar,PBKS,,100.0,Bowler,Indian,SOLD,auction,manual_2008
2008,P0710,Scott Styris,DCH,,100.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0857,Wasim Jaffer,RCB,,100.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0549,Parthiv Patel,CSK,,80.0,Wicket-Keeper,Indian,SOLD,auction,manual_2008
2008,P0162,Cameron White,RCB,,75.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0282,Herschelle Gibbs,DCH,,75.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0308,James Hopes,PBKS,,75.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0443,Mark Boucher,RCB,,75.0,Wicket-Keeper,Overseas,SOLD,auction,manual_2008
2008,P0760,Simon Katich,DCH,,75.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0200,David Hussey,KKR,,62.5,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0725,Shane Watson,RR,,62.5,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0729,Shaun Marsh,PBKS,,60.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0188,Dale Steyn,RCB,,57.5,Bowler,Overseas,SOLD,auction,manual_2008
2008,P0464,Misbah-ul-Haq,RCB,,50.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0657,Ross Taylor,RCB,,50.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0761,Sohail Tanvir,RR,,50.0,Bowler,Overseas,SOLD,auction,manual_2008
2008,P0402,Lasith Malinga,MI,,40.0,Bowler,Overseas,SOLD,auction,manual_2008
2008,P0643,Ricky Ponting,KKR,,40.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0770,Subramaniam Badrinath,CSK,,40.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0800,Tillakaratne Dilshan,DC,,40.0,Batsman,Overseas,SOLD,auction,manual_2008
2008,P0048,Albie Morkel,CSK,,30.0,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0057,Ambati Rayudu,MI,,30.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0153,Brendon McCullum,KKR,,30.0,Wicket-Keeper,Overseas,SOLD,auction,manual_2008
2008,P0844,Virat Kohli,RCB,,30.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0716,Shahid Afridi,DCH,,27.5,All-Rounder,Overseas,SOLD,auction,manual_2008
2008,P0705,Saurabh Tiwary,DCH,,20.0,Batsman,Indian,SOLD,auction,manual_2008
2008,P0430,Manish Pandey,MI,,12.5,Batsman,Indian,SOLD,auction,manual_2008
2008,P0864,Wriddhiman Saha,KKR,,10.0,Wicket-Keeper,Indian,SOLD,auction,manual_2008
2011,P0417,MS Dhoni,CSK,,810.0,,,RETAINED,retained,retained_espncricinfo
2011,P0669,Sachin Tendulkar,MI,,810.0,,,RETAINED,retained,retained_espncricinfo
2011,P0724,Shane Warne,RR,,810.0,,,RETAINED,retained,retained_espncricinfo
2011,P0846,Virender Sehwag,DC,,810.0,,,RETAINED,retained,retained_espncricinfo
2011,P0844,Virat Kohli,RCB,,810.0,,,RETAINED,retained,retained_espncricinfo
2011,P0778,Suresh Raina,CSK,,585.0,,,RETAINED,retained,retained_espncricinfo
2011,P0270,Harbhajan Singh,MI,,585.0,,,RETAINED,retained,retained_espncricinfo
2011,P0725,Shane Watson,RR,,585.0,,,RETAINED,retained,retained_espncricinfo
2011,P0500,Murali Vijay,CSK,,405.0,,,RETAINED,retained,retained_espncricinfo
2011,P0375,Kieron Pollard,MI,,405.0,,,RETAINED,retained,retained_espncricinfo
2011,P0048,Albie Morkel,CSK,,225.0,,,RETAINED,retained,retained_espncricinfo
2011,P0402,Lasith Malinga,MI,,225.0,,,RETAINED,retained,retained_espncricinfo
2013,P0257,Glenn Maxwell,MI,,750.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0029,Ajantha Mendis,PWI,,543.75,Bowler,Overseas,SOLD,auction,kaggle_main
2013,P0358,Kane Richardson,PWI,,525.0,Bowler,Overseas,SOLD,auction,kaggle_main
2013,P0015,Abhishek Nayar,PWI,,506.25,All-Rounder,Indian,SOLD,auction,kaggle_main
2013,P0799,Thisara Perera,SRH,,506.25,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0176,Christopher Morris,CSK,,468.75,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0670,Sachithra Senanayaka,KKR,,468.75,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0225,Dirk Nannes,CSK,,450.0,Bowler,Overseas,SOLD,auction,kaggle_main
2013,P0323,Jaydev Unadkat,RCB,,393.75,Bowler,Indian,SOLD,auction,kaggle_main
2013,P0435,Manpreet Gony,PBKS,,375.0,Bowler,Indian,SOLD,auction,kaggle_main
2013,P0336,Johan Botha,DC,,337.5,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0515,Nathan Coulter-Nile,MI,,337.5,Bowler,Overseas,SOLD,auction,kaggle_main
2013,P0195,Darren Sammy,SRH,,318.75,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0307,James Faulkner,RR,,300.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0459,Michael Clarke,PWI,,300.0,Batsman,Overseas,SOLD,auction,kaggle_main
2013,P0643,Ricky Ponting,MI,,300.0,Batsman,Overseas,SOLD,auction,kaggle_main
2013,P0659,Rudra Pratap Singh,RCB,,300.0,Bowler,Indian,SOLD,auction,kaggle_main
2013,P0408,Luke Pomersbach,PBKS,,225.0,Batsman,Overseas,SOLD,auction,kaggle_main
2013,P0487,Moises Henriques,RCB,,225.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0633,Ravi Rampaul,RCB,,217.5,Bowler,Overseas,SOLD,auction,kaggle_main
2013,P0326,Jesse Ryder,DC,,195.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0247,Fidel Edwards,RR,,157.5,Bowler,Overseas,SOLD,auction,kaggle_main
2013,P0545,Pankaj Singh,RCB,,112.5,Bowler,Indian,SOLD,auction,kaggle_main
2013,P0180,Clinton McKay,SRH,,75.0,Bowler,Overseas,SOLD,auction,kaggle_main
2013,P0189,Daniel Christian,RCB,,75.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0517,Nathan McCullum,SRH,,75.0,Bowler,Overseas,SOLD,auction,kaggle_main
2013,P0560,Philip Hughes,MI,,75.0,Batsman,Overseas,SOLD,auction,kaggle_main
2013,P0771,Sudeep Tyagi,SRH,,75.0,Bowler,Indian,SOLD,auction,kaggle_main
2013,P0179,Christopher Barnwell,RCB,,37.5,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0302,Jacob Oram,MI,,37.5,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0325,Jeevan Mendis,DC,,37.5,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0661,Ryan McLaren,KKR,,37.5,Bowler,Overseas,SOLD,auction,kaggle_main
2013,P0041,Akila Dananjaya,CSK,,15.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2013,P0134,Ben Laughlin,CSK,,15.0,Bowler,Overseas,SOLD,auction,kaggle_main
2013,P0315,Jason Holder,CSK,,15.0,Bowler,Overseas,SOLD,auction,kaggle_main
2013,P0391,Kusal Janith Perera,RR,,15.0,Wicket-Keeper,Indian,SOLD,auction,kaggle_main
2013,P0595,Quinton De Kock,SRH,,15.0,Wicket-Keeper,Overseas,SOLD,auction,kaggle_main
2014,P0878,Yuvraj Singh,RCB,,1400.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0223,Dinesh Karthik,DC,,1250.0,Wicket-Keeper,Indian,SOLD,auction,kaggle_main
2014,P0417,MS Dhoni,CSK,,1250.0,,,RETAINED,retained,retained_espncricinfo
2014,P0608,Rohit Sharma,MI,,1250.0,,,RETAINED,retained,retained_espncricinfo
2014,P0251,Gautam Gambhir,KKR,,1250.0,,,RETAINED,retained,retained_espncricinfo
2014,P0725,Shane Watson,RR,,1250.0,,,RETAINED,retained,retained_espncricinfo
2014,P0844,Virat Kohli,RCB,,1250.0,,,RETAINED,retained,retained_espncricinfo
2014,P0735,Shikhar Dhawan,SRH,,1250.0,,,RETAINED,retained,retained_espncricinfo
2014,P0201,David Miller,PBKS,,1250.0,,,RETAINED,retained,retained_espncricinfo
2014,P0778,Suresh Raina,CSK,,950.0,,,RETAINED,retained,retained_espncricinfo
2014,P0270,Harbhajan Singh,MI,,950.0,,,RETAINED,retained,retained_espncricinfo
2014,P0777,Sunil Narine,KKR,,950.0,,,RETAINED,retained,retained_espncricinfo
2014,P0307,James Faulkner,RR,,950.0,,,RETAINED,retained,retained_espncricinfo
2014,P0001,AB de Villiers,RCB,,950.0,,,RETAINED,retained,retained_espncricinfo
2014,P0188,Dale Steyn,SRH,,950.0,,,RETAINED,retained,retained_espncricinfo
2014,P0372,Kevin Pietersen,DC,,900.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0636,Ravichandran Ashwin,CSK,,750.0,,,RETAINED,retained,retained_espncricinfo
2014,P0375,Kieron Pollard,MI,,750.0,,,RETAINED,retained,retained_espncricinfo
2014,P0031,Ajinkya Rahane,RR,,750.0,,,RETAINED,retained,retained_espncricinfo
2014,P0172,Chris Gayle,RCB,,750.0,,,RETAINED,retained,retained_espncricinfo
2014,P0465,Mitchell Johnson,PBKS,,650.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0257,Glenn Maxwell,PBKS,,600.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0202,David Warner,SRH,,550.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0303,Jacques Kallis,KKR,,550.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0637,Ravindra Jadeja,CSK,,550.0,,,RETAINED,retained,retained_espncricinfo
2014,P0402,Lasith Malinga,MI,,550.0,,,RETAINED,retained,retained_espncricinfo
2014,P0693,Sanju Samson,RR,,550.0,,,RETAINED,retained,retained_espncricinfo
2014,P0460,Michael Hussey,MI,,500.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0469,Mitchell Starc,RCB,,500.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0500,Murali Vijay,DC,,500.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0652,Robin Uthappa,KKR,,500.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0243,Faf Du Plessis,CSK,,475.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0186,Corey Anderson,MI,,450.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0236,Dwayne Smith,CSK,,450.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0143,Bhuvneshwar Kumar,SRH,,425.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0478,Mohammed Shami,DC,,425.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0515,Nathan Coulter-Nile,DC,,425.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0561,Piyush Chawla,KKR,,425.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0003,Aaron Finch,SRH,,400.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0767,Steven Smith,RR,,400.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0235,Dwayne Bravo,CSK,,400.0,,,RETAINED,retained,retained_espncricinfo
2014,P0057,Ambati Rayudu,MI,,400.0,,,RETAINED,retained,retained_espncricinfo
2014,P0768,Stuart Binny,RR,,400.0,,,RETAINED,retained,retained_espncricinfo
2014,P0424,Manan Vohra,PBKS,,400.0,,,RETAINED,retained,retained_espncricinfo
2014,P0362,Karn Sharma,SRH,,375.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0195,Darren Sammy,SRH,,350.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0595,Quinton De Kock,DC,,350.0,Wicket-Keeper,Overseas,SOLD,auction,kaggle_main
2014,P0153,Brendon McCullum,CSK,,325.0,Wicket-Keeper,Overseas,SOLD,auction,kaggle_main
2014,P0252,George Bailey,PBKS,,325.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0566,Pragyan Ojha,MI,,325.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0876,Yusuf Pathan,KKR,,325.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0846,Virender Sehwag,PBKS,,320.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0648,Rishi Dhawan,PBKS,,300.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0323,Jaydev Unadkat,DC,,280.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0434,Manoj Tiwary,DC,,280.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0490,Morne Morkel,KKR,,280.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0625,Ranganath Vinay Kumar,KKR,,280.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0720,Shakib Al Hasan,KKR,,280.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0294,Ishant Sharma,SRH,,260.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0815,Umesh Yadav,KKR,,260.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0880,Zaheer Khan,MI,,260.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0048,Albie Morkel,RCB,,240.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0149,Brad Hodge,RR,,240.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0289,Irfan Pathan,SRH,,240.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0324,Jean-Paul Duminy,DC,,220.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0729,Shaun Marsh,PBKS,,220.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0864,Wriddhiman Saha,PBKS,,220.0,Wicket-Keeper,Indian,SOLD,auction,kaggle_main
2014,P0096,Ashish Nehra,CSK,,200.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0369,Kedar Jadhav,DC,,200.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0485,Mohit Sharma,CSK,,200.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0657,Ross Taylor,DC,,200.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0826,Varun Aaron,RCB,,200.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0169,Cheteshwar Pujara,PBKS,,190.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0608,Rahul Sharma,DC,,190.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0137,Beuran Hendricks,PBKS,,180.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0399,Lakshmipathy Balaji,PBKS,,180.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0430,Manish Pandey,KKR,,170.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0616,Rajat Bhatia,RR,,170.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0025,Aditya Tare,MI,,160.0,Wicket-Keeper,Indian,SOLD,auction,kaggle_main
2014,P0454,Mayank Agarwal,DC,,160.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0799,Thisara Perera,PBKS,,160.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0098,Ashok Dinda,RCB,,150.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0295,Ishwar Chandra Pandey,CSK,,150.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0403,Laxmi Ratan Shukla,DC,,150.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0549,Parthiv Patel,RCB,,140.0,Wicket-Keeper,Indian,SOLD,auction,kaggle_main
2014,P0175,Chris Lynn,KKR,,130.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0265,Gurkeerat Singh Mann,PBKS,,130.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0317,Jasprit Bumrah,MI,,120.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0803,Tim Southee,RR,,120.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0216,Dhawal Kulkarni,RR,,110.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0015,Abhishek Nayar,RR,,100.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0133,Ben Hilfenhaus,CSK,,100.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0309,James Neesham,DC,,100.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0354,KL Rahul,SRH,,100.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0358,Kane Richardson,RR,,100.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0487,Moises Henriques,SRH,,100.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0499,Murali Kartik,PBKS,,100.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0506,Muttiah Muralitharan,RCB,,100.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0552,Pat Cummins,KKR,,100.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0663,Ryan Ten Doeschate,KKR,,100.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0858,Wayne Parnell,DC,,100.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0550,Parveez Rasool,SRH,,95.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0306,Jalaj Saxena,MI,,90.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0633,Ravi Rampaul,RCB,,90.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0689,Sandeep Sharma,PBKS,,85.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0715,Shahbaz Nadeem,DC,,85.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0129,Ben Cutting,RR,,80.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0426,Mandeep Hardev Singh,PBKS,,80.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0043,Akshar Rajesh Patel,PBKS,,75.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0315,Jason Holder,SRH,,75.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0366,Karun Nair,RR,,75.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0705,Saurabh Tiwary,DC,,70.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0779,Suryakumar Yadav,KKR,,70.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0288,Iqbal Abdullah,RR,,65.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0551,Parvinder Awana,PBKS,,65.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0817,Unmukt Chand,RR,,65.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0061,Andre Russell,KKR,,60.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0438,Manvinder Bisla,KKR,,60.0,Wicket-Keeper,Indian,SOLD,auction,kaggle_main
2014,P0832,Venugopal Rao,SRH,,55.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0337,John Hastings,CSK,,50.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0342,Josh Hazlewood,MI,,50.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0511,Naman Ojha,SRH,,50.0,Wicket-Keeper,Indian,SOLD,auction,kaggle_main
2014,P0523,Nic Maddinson,RCB,,50.0,Batsman,Overseas,SOLD,auction,kaggle_main
2014,P0756,Siddarth Kaul,DC,,45.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0208,Deepak Hooda,RR,,40.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0278,Harshal Patel,RCB,,40.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0385,Kuldeep Yadav,KKR,,40.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0609,Rahul Shukla,DC,,40.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0829,Veer Pratap Singh,KKR,,40.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0019,Abu Nechim Ahmed,RCB,,30.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0152,Brendan Taylor,SRH,,30.0,Wicket-Keeper,Overseas,SOLD,auction,kaggle_main
2014,P0226,Dishant Yagnik,RR,,30.0,Wicket-Keeper,Indian,SOLD,auction,kaggle_main
2014,P0373,Kevon Cooper,RR,,30.0,All-Rounder,Overseas,SOLD,auction,kaggle_main
2014,P0381,Krismar Santokie,MI,,30.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0440,Marchant De Lange,MI,,30.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0448,Matt Henry,CSK,,30.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0470,Mithun Manhas,CSK,,30.0,All-Rounder,Indian,SOLD,auction,kaggle_main
2014,P0569,Prasanth Parameswaran,SRH,,30.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0684,Samuel Badree,CSK,,30.0,Bowler,Overseas,SOLD,auction,kaggle_main
2014,P0838,Vijay Zol,RCB,,30.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0060,Amit Paunikar,SRH,,20.0,Wicket-Keeper,Indian,SOLD,auction,kaggle_main
2014,P0078,Anureet Singh,PBKS,,20.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0097,Ashish Reddy,SRH,,20.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0131,Ben Dunk,MI,,20.0,Wicket-Keeper,Overseas,SOLD,auction,kaggle_main
2014,P0159,C M Gautam,MI,,20.0,Wicket-Keeper,Indian,SOLD,auction,kaggle_main
2014,P0206,Debabrata Das,KKR,,20.0,Wicket-Keeper,Indian,SOLD,auction,kaggle_main
2014,P0668,Sachin Rana,RCB,,20.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0712,Shadab Jakati,RCB,,20.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0727,Shardul Thakur,PBKS,,20.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0765,Srikkanth Anirudha,SRH,,20.0,Batsman,Indian,SOLD,auction,kaggle_main
2014,P0841,Vikramjeet Malik,RR,,20.0,Bowler,Indian,SOLD,auction,kaggle_main
2014,P0059,Amit Mishra,RR,,10.0,Bowler,Indian,SOLD,auction,kaggle_main
