Set No.,2023 Set,First Name,Surname,Country,Association,DOB,Age,Specialism,Batting_Style,Bowling_Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2022 Team,2022 IPL,C/U/A,Reserve_Price,TEAM,Auction_Price
5,SP1,Adil,Rashid,England,F,17/02/1988,35,BOWLER,RHB,RIGHT ARM Leg Spin,19,119,92,1,PBKS,Do No Play,0,Capped,200,SRH,200.0
5,SP1,Tabraiz,Shamsi,South Africa,F,18/02/1990,33,BOWLER,RHB,LEFT ARM Slow Unorthodox,2,39,59,5,"RCB, RR",Do No Play,0,Capped,100,UnSold,0.0
5,SP1,Adam,Zampa,Australia,F,31/12/1992,30,BOWLER,RHB,RIGHT ARM Leg Spin,0,75,72,14,"RPSG, RCB",Do No Play,0,Capped,150,RR,150.0
6,UBA1,Shubham,Khajuria,India,JKCA,13/09/1995,27,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
6,UBA1,Rohan,Kunnummal,India,KCA,10/05/1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
6,UBA1,Chethan,L.R.,India,KSCA,25/05/2000,22,BATSMAN,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
6,UBA1,Shaik,Rasheed,India,ACA,24/09/2004,18,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,CSK,20.0
6,UBA1,Anmolpreet,Singh,India,PCA,28/03/1998,25,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,3,MI,MI,2,Uncapped,20,SRH,20.0
6,UBA1,Himmat,Singh,India,DDCA,08/11/1996,26,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,RCB,Do No Play,0,Uncapped,20,UnSold,0.0
7,UAL1,Corbin,Bosch,South Africa,F,10/09/1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,RR,RR,0,Uncapped,20,UnSold,0.0
7,UAL1,Priyam,Garg,India,UPCA,30/11/2000,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,21,SRH,SRH,2,Uncapped,20,UnSold,0.0
7,UAL1,Saurabh,Kumar,India,UPCA,01/05/1993,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
7,UAL1,Vivrant,Sharma,India,JKCA,30/10/1999,23,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,SRH,260.0
7,UAL1,Nishant,Sindhu,India,HCA,09/04/2004,18,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,CSK,60.0
7,UAL1,Sanvir,Singh,India,PCA,12/10/1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,SRH,20.0
7,UAL1,Shashank,Singh,India,CSCSCA,21/11/1991,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,10,"DD, RR, SRH",SRH,10,Uncapped,20,UnSold,0.0
7,UAL1,Samarth,Vyas,India,SCA,28/11/1995,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,SRH,20.0
8,UWK1,K.S.,Bharat,India,ACA,03/10/1993,29,WICKETKEEPER,RHB,-,0,0,0,10,"RCB, DC",DC,2,Uncapped,20,UnSold,0.0
8,UWK1,Mohammed,Azharuddeen,India,KCA,22/03/1994,29,WICKETKEEPER,RHB,-,0,0,0,0,RCB,Do No Play,0,Uncapped,20,UnSold,0.0
8,UWK1,Dinesh,Bana,India,HCA,15/09/2004,18,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
8,UWK1,Abhimanyu,Easwaran,India,CAB,06/09/1995,27,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
8,UWK1,N.,Jagadeesan,India,TNCA,24/12/1995,27,WICKETKEEPER,RHB,-,0,0,0,7,CSK,CSK,2,Uncapped,20,UnSold,0.0
8,UWK1,Sumit,Kumar,India,HCA,12/12/1995,27,WICKETKEEPER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
8,UWK1,Upendra Singh,Yadav,India,RSPB,08/10/1996,26,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
9,UFA1,Vaibhav,Arora,India,HPCA,14/12/1997,25,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,5,"KKR, PBKS",PBKS,5,Uncapped,20,KKR,60.0
9,UFA1,K.M.,Asif,India,KCA,24/07/1993,29,BOWLER,RHB,RIGHT ARM Fast,0,0,0,3,CSK,CSK,0,Uncapped,30,UnSold,0.0
9,UFA1,Mukesh,Kumar,India,CAB,12/10/1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,DC,550.0
9,UFA1,Shivam,Mavi,India,UPCA,26/11/1998,24,BOWLER,RHB,RIGHT ARM Fast,0,0,0,32,KKR,KKR,6,Uncapped,40,GT,600.0
9,UFA1,Lance,Morris,Australia,F,28/03/1998,25,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,30,UnSold,0.0
9,UFA1,Yash,Thakur,India,VCA,28/12/1998,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,LSG,45.0
9,UFA1,Mujtaba,Yousuf,India,JKCA,07/06/2002,20,BOWLER,LHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
10,USP1,Murugan,Ashwin,India,TNCA,08/09/1990,32,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,42,"RPS, DD,RCB,PBKS, MI",MI,8,Uncapped,20,RR,20.0
10,USP1,Chintal,Gandhi,India,BCA,25/08/1994,28,BOWLER,LHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
10,USP1,Shreyas,Gopal,India,KSCA,04/09/1993,29,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,49,"MI,RR,SRH",SRH,1,Uncapped,20,UnSold,0.0
10,USP1,S,Midhun,India,KCA,07/10/1994,28,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,1,RR,Do No Play,0,Uncapped,20,UnSold,0.0
10,USP1,Izharulhuq,Naveed,Afghanistan,F,10/11/2003,19,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
10,USP1,Himanshu,Sharma,India,RCA,06/06/1998,24,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,RCB,20.0
11,BA2,Travis,Head,Australia,F,29/12/1993,29,BATSMAN,LHB,RIGHT ARM Off Spin,28,51,17,10,RCB,Do No Play,0,Capped,200,UnSold,0.0
11,BA2,Will,Jacks,England,F,21/11/1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,2,0,Do No Play,Do No Play,0,Capped,150,RCB,320.0
11,BA2,Dawid,Malan,England,F,03/09/1987,35,BATSMAN,LHB,RIGHT ARM Leg Spin,22,12,55,1,PBKS,Do No Play,0,Capped,150,UnSold,0.0
11,BA2,Manish,Pandey,India,KSCA,10/09/1989,33,BATSMAN,RHB,-,0,29,39,160,"MI, RCB,PWI, KKR, SRH, LSG",LSG,6,Capped,100,DC,240.0
11,BA2,Sherfane,Rutherford,West Indies,F,15/08/1998,24,BATSMAN,LHB,-,0,0,6,10,"DC, MI, RR, RCB",RCB,3,Capped,150,UnSold,0.0
11,BA2,Mandeep,Singh,India,PCA,18/12/1991,31,BATSMAN,RHB,-,0,0,3,108,"KKR, RCB, PBKS, DC",DC,3,Capped,50,KKR,50.0
11,BA2,Paul,Stirling,Ireland,F,03/09/1990,32,BATSMAN,RHB,RIGHT ARM Off Spin,3,139,121,0,Do No Play,Do No Play,0,Capped,50,UnSold,0.0
11,BA2,Rassie,Van Der Dussen,South Africa,F,07/02/1989,34,BATSMAN,RHB,RIGHT ARM Off Spin,17,38,41,3,RR,RR,3,Capped,200,UnSold,0.0
12,AL2,Daryl,Mitchell,New Zealand,F,20/05/1991,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,12,11,41,2,RR,RR,2,Capped,100,UnSold,0.0
12,AL2,Mohammad,Nabi,Afghanistan,F,01/01/1985,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,3,135,104,17,"SRH, KKR",KKR,0,Capped,100,UnSold,0.0
12,AL2,Jimmy,Neesham,New Zealand,F,17/09/1990,32,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,12,71,60,14,"DD, KXIP, MI, RR",RR,2,Capped,200,UnSold,0.0
12,AL2,Wayne,Parnell,South Africa,F,30/07/1989,33,ALL-ROUNDER,LHB,LEFT ARM Fast,6,69,53,26,"PWI, DD",Do No Play,0,Capped,75,UnSold,0.0
12,AL2,Daniel,Sams,Australia,F,27/10/1992,30,ALL-ROUNDER,RHB,LEFT ARM Fast,0,0,10,16,"DC, RCB, MI",MI,11,Capped,75,LSG,75.0
12,AL2,Dasun,Shanaka,Sri Lanka,F,09/09/1991,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,6,42,82,0,Do No Play,Do No Play,0,Capped,50,UnSold,0.0
12,AL2,Romario,Shepherd,West Indies,F,26/11/1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,18,23,3,SRH,SRH,3,Capped,50,LSG,50.0
13,FA2,Taskin,Ahmed,Bangladesh,F,03/04/1995,28,BOWLER,LHB,RIGHT ARM Fast,11,51,46,0,Do No Play,Do No Play,0,Capped,50,UnSold,0.0
13,FA2,Dushmanta,Chameera,Sri Lanka,F,11/01/1992,31,BOWLER,RHB,RIGHT ARM Fast,12,42,52,12,LSG,LSG,12,Capped,50,UnSold,0.0
13,FA2,Kyle,Jamieson,New Zealand,F,30/12/1994,28,BOWLER,RHB,RIGHT ARM Fast,16,8,8,9,RCB,Do No Play,0,Capped,100,CSK,100.0
13,FA2,Riley,Meredith,Australia,F,21/06/1996,26,BOWLER,RHB,RIGHT ARM Fast,0,1,5,13,"PBKS, MI",MI,8,Capped,150,UnSold,0.0
13,FA2,Blessing,Muzarabani,Zimbabwe,F,02/10/1996,26,BOWLER,RHB,RIGHT ARM Fast,6,33,34,0,Do No Play,Do No Play,0,Capped,50,UnSold,0.0
13,FA2,Sandeep,Sharma,India,UTCA,18/05/1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,2,104,"SRH, PBKS",PBKS,5,Capped,50,UnSold,0.0
14,WK2,Johnson,Charles,West Indies,F,14/01/1989,34,WICKETKEEPER,RHB,-,0,48,38,0,Do No Play,Do No Play,0,Capped,50,UnSold,0.0
14,WK2,Andre,Fletcher,West Indies,F,28/11/1987,35,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,25,54,0,Do No Play,Do No Play,0,Capped,50,UnSold,0.0
14,WK2,Shai,Hope,West Indies,F,10/11/1993,29,WICKETKEEPER,RHB,-,38,104,19,0,Do No Play,Do No Play,0,Capped,100,UnSold,0.0
14,WK2,Tom,Latham,New Zealand,F,02/04/1992,31,WICKETKEEPER,LHB,-,68,116,18,0,Do No Play,Do No Play,0,Capped,100,UnSold,0.0
14,WK2,Ben,Mcdermott,Australia,F,12/12/1994,28,WICKETKEEPER,RHB,-,0,5,23,0,Do No Play,Do No Play,0,Capped,50,UnSold,0.0
14,WK2,Joshua,Philippe,Australia,F,01/06/1997,25,WICKETKEEPER,RHB,-,0,3,10,5,RCB,Do No Play,0,Capped,75,UnSold,0.0
14,WK2,Lorcan,Tucker,Ireland,F,10/09/1996,26,WICKETKEEPER,RHB,-,0,29,49,0,Do No Play,Do No Play,0,Capped,50,UnSold,0.0
15,SP2,Piyush,Chawla,India,GUCA,24/12/1988,34,BOWLER,LHB,RIGHT ARM Leg Spin,3,25,7,165,"KXIP, KKR, CSK, MI",Do No Play,0,Capped,50,MI,50.0
15,SP2,Amit,Mishra,India,HCA,24/11/1982,40,BOWLER,RHB,RIGHT ARM Leg Spin,22,36,10,154,"DCH, SRH, DC",Do No Play,0,Capped,50,LSG,50.0
15,SP2,Shahbaz,Nadeem,India,JSCA,12/08/1989,33,BOWLER,RHB,LEFT ARM Slow Orthodox,2,0,0,72,"SRH, DD, RCB, LSG",LSG,0,Capped,50,UnSold,0.0
15,SP2,Ish,Sodhi,New Zealand,F,31/10/1992,30,BOWLER,RHB,RIGHT ARM Leg Spin,17,37,88,8,RR,Do No Play,0,Capped,75,UnSold,0.0
16,UBA2,Sachin,Baby,India,KCA,18/12/1988,34,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,19,"RR, SRH, RCB",Do No Play,0,Uncapped,20,UnSold,0.0
16,UBA2,Harpreet,Bhatia,India,CSCSCA,11/08/1991,31,BATSMAN,LHB,RIGHT ARM Medium,0,0,0,4,"KKR, PWI, RCB",Do No Play,0,Uncapped,20,PBKS,40.0
16,UBA2,Ashwin,Hebbar,India,ACA,15/11/1995,27,BATSMAN,RHB,RIGHT ARM Fast,0,0,0,0,DC,DC,0,Uncapped,20,UnSold,0.0
16,UBA2,Pukhraj,Mann,India,PCA,07/06/2001,21,BATSMAN,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
16,UBA2,Akshat,Raghuwanshi,India,MPCA,15/09/2003,19,BATSMAN,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
16,UBA2,Himanshu,Rana,India,HCA,01/10/1998,24,BATSMAN,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
16,UBA2,Shoun,Roger,India,KCA,16/10/2002,20,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
16,UBA2,Virat,Singh,India,JSCA,08/12/1997,25,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,3,SRH,Do No Play,0,Uncapped,20,UnSold,0.0
16,UBA2,Will,Smeed,England,F,26/10/2001,21,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,40,UnSold,0.0
16,UBA2,Apoorv,Wankhade,India,VCA,14/03/1992,31,BATSMAN,RHB,-,0,0,0,0,"MI, KKR",Do No Play,0,Uncapped,30,UnSold,0.0
17,UAL2,Manoj,Bhandage,India,KSCA,05/10/1998,24,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,RCB,20.0
17,UAL2,Gerald,Coetzee,South Africa,F,02/10/2000,22,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
17,UAL2,Mayank,Dagar,India,HPCA,11/11/1996,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,KXIP,Do No Play,0,Uncapped,20,SRH,180.0
17,UAL2,Duan,Jansen,South Africa,F,01/05/2000,22,ALL-ROUNDER,RHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,MI,20.0
17,UAL2,Evan,Jones,South Africa,F,05/08/1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
17,UAL2,Prerak,Mankad,India,SCA,23/04/1994,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,PBKS,PBKS,0,Uncapped,20,LSG,20.0
17,UAL2,Abid,Mushtaq,India,JKCA,17/01/1997,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
17,UAL2,Suryansh,Shedge,India,MCA,29/01/2003,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
17,UAL2,Jagadeesha,Suchith,India,KSCA,16/01/1994,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,22,"MI, DC, KXIP, SRH",SRH,5,Uncapped,20,UnSold,0.0
17,UAL2,Akash,Vashisht,India,HPCA,17/12/1994,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,RR,20.0
18,UWK2,Ricky,Bhui,India,ACA,29/09/1996,26,WICKETKEEPER,RHB,-,0,0,0,2,SRH,Do No Play,0,Uncapped,20,UnSold,0.0
18,UWK2,Donovan,Ferreira,South Africa,F,21/07/1998,24,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,RR,50.0
18,UWK2,Baba,Indrajith,India,TNCA,08/07/1994,28,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,0,0,3,KKR,KKR,3,Uncapped,20,UnSold,0.0
18,UWK2,Sheldon,Jackson,India,SCA,27/09/1986,36,WICKETKEEPER,RHB,-,0,0,0,9,KKR,KKR,5,Uncapped,20,UnSold,0.0
18,UWK2,Aryan,Juyal,India,UPCA,11/11/2001,21,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,0,MI,MI,0,Uncapped,20,UnSold,0.0
18,UWK2,Urvil,Patel,India,GUCA,17/10/1998,24,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,GT,20.0
18,UWK2,Kirant,Shinde,India,ACA,19/09/1997,25,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
18,UWK2,Luvnith,Sisodia,India,KSCA,15/01/2000,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,0,0,0,RCB,RCB,0,Uncapped,20,UnSold,0.0
18,UWK2,Vishnu,Solanki,India,BCA,15/10/1992,30,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
18,UWK2,Vishnu,Vinod,India,KCA,02/12/1993,29,WICKETKEEPER,RHB,-,0,0,0,3,"RCB, DC, SRH",SRH,0,Uncapped,20,MI,20.0
19,UFA2,Aniket,Choudhary,India,RCA,28/01/1990,33,BOWLER,RHB,LEFT ARM Fast Medium,0,0,0,5,RCB,Do No Play,0,Uncapped,30,UnSold,0.0
19,UFA2,Vidwath,Kaverappa,India,KSCA,25/02/1999,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,PBKS,20.0
19,UFA2,Rajan,Kumar,India,CAU,08/07/1996,26,BOWLER,LHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,RCB,70.0
19,UFA2,Ravi,Kumar,India,CAB,29/10/2003,19,BOWLER,LHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
19,UFA2,Sushant,Mishra,India,JSCA,23/12/2000,22,BOWLER,LHB,LEFT ARM Fast,0,0,0,0,SRH,SRH,0,Uncapped,20,UnSold,0.0
19,UFA2,Arzan,Nagwaswalla,India,GUCA,17/10/1997,25,BOWLER,RHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
19,UFA2,Ishan,Porel,India,CAB,05/09/1998,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,1,PBKS,PBKS,0,Uncapped,20,UnSold,0.0
19,UFA2,Akash,Singh,India,NCA,26/04/2002,20,BOWLER,RHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
19,UFA2,Basil,Thampi,India,KCA,11/09/1993,29,BOWLER,RHB,RIGHT ARM Fast,0,0,0,25,"GL, SRH, MI",MI,5,Uncapped,20,UnSold,0.0
19,UFA2,Paul,Van Meekeren,Netherland,F,15/01/1993,30,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Associate,20,UnSold,0.0
19,UFA2,Vyshak,Vijay Kumar,India,KSCA,31/01/1997,26,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
20,USP2,S.Ajith,Ram,India,TNCA,05/09/1998,24,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
20,USP2,Satyajeet,Bachhav,India,MACA,28/11/1992,30,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
20,USP2,Tejas,Baroka,India,DDCA,01/02/1996,27,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,1,"GL, RR",RR,0,Uncapped,20,UnSold,0.0
20,USP2,Yuvraj,Chudasama,India,SCA,23/11/1995,27,BOWLER,LHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
20,USP2,Peter,Hatzoglou,Australia,F,27/11/1998,24,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,UnSold,0.0
20,USP2,Karthik,Meiyappan,UAE,F,08/10/2000,22,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Associate,20,UnSold,0.0
20,USP2,Suyash,Sharma,India,DDCA,15/05/2003,19,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,KKR,20.0
